university,faculty,field_name,program_name,program_url
มหาวิทยาลัยศรีนครินทรวิโรฒ,16. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10090209300501A
มหาวิทยาลัยสงขลานครินทร์,1. คณะวิศวกรรมศาสตร์,3. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10100101300501A
มหาวิทยาลัยสงขลานครินทร์,1. คณะวิศวกรรมศาสตร์,3. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/programs/10100101300502A
มหาวิทยาลัยอุบลราชธานี,3. คณะวิศวกรรมศาสตร์,3. วิศวกรรมปัญญาประดิษฐ์,วศ.บ.สาขาวิชาวิศวกรรมปัญญาประดิษฐ์และการสั่งการ,https://course.mytcas.com/programs/10180113303703A
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,1. คณะวิศวกรรมศาสตร์,4. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10160101300501A
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,1. คณะวิศวกรรมศาสตร์,4. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ),https://course.mytcas.com/programs/10160101300503E
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,1. คณะวิศวกรรมศาสตร์,4. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์และความปลอดภัยไซเบอร์,https://course.mytcas.com/programs/10160101300504A
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,1. คณะวิศวกรรมศาสตร์,20. วิศวกรรมปัญญาประดิษฐ์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และการเป็นผู้ประกอบการ (หลักสูตรนานาชาติ) (หลักสูตรร่วม สจล. และ ม.กรุงเทพ),https://course.mytcas.com/programs/10160101303701I
มหาวิทยาลัยราชภัฏสวนสุนันทา,5. คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,6. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/21660105300516A
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,4. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. (วิศวกรรมคอมพิวเตอร์และระบบไอโอที),https://course.mytcas.com/programs/31920104300501A
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,3. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31910104300501A
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,4. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31940504300501A
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,1. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ 4 ปี,https://course.mytcas.com/programs/31950101300501A
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,2. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31970104300501A
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,2. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,https://course.mytcas.com/programs/31970104300502A
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,14. คณะวิศวกรรมศาสตร์และเทคโนโลยี,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร,https://course.mytcas.com/programs/31970615300501A
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,3. คณะวิศวกรรมศาสตร์และเทคโนโลยี,2. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31990103300501A
มหาวิทยาลัยเกษมบัณฑิต,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/41800204300501A
มหาวิทยาลัยเทคโนโลยีมหานคร,3. วิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,https://course.mytcas.com/programs/40610130300501A?major=A
มหาวิทยาลัยธุรกิจบัณฑิตย์,2. วิทยาลัยวิศวกรรมศาสตร์และเทคโนโลยี,2. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/41030102300501A
มหาวิทยาลัยรังสิต,9. วิทยาลัยวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/40680111300501A
มหาวิทยาลัยสยาม,1. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/41810101300501A
มหาวิทยาลัยหอการค้าไทย,7. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์),https://course.mytcas.com/programs/40560107300501A
สถาบันการจัดการปัญญาภิวัฒน์,1. คณะวิศวกรรมศาสตร์และเทคโนโลยี,5. วิศวกรรมปัญญาประดิษฐ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,https://course.mytcas.com/programs/49180101303701A
